"Year","Fruit","Variety","Area_harvested_ha","Yield_t_per_ha","Production_tons","Average_Temperature_C","Rainfall_mm","Pest_Incidence_Index","Irrigation_Water_m3_per_ha","Productivity","Growth_Percent","Disease_Class","NDVI_Index","Soil_Moisture_pct","GDD_Base10","Reference_ETo_mm","Notes","Prod_total_orig"
2015,"Bananas","Basrai",240.95,11.73,2825.2,15.72,308.8,0.35,2925,0.783,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Basrai",23.17,11.7,271.2,14.71,331.3,0.22,2777,0.773,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Basrai",102.52,18.34,1880.01,14.25,276.6,0.43,3269,1.177,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Basrai",277.42,14.88,4128.15,20.95,307.4,0.28,2843,1.008,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Basrai",69.14,12.67,876.14,23.11,240.3,0.5,3726,0.777,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Basrai",222.95,11.48,2558.92,15.7,357.7,0.27,2605,0.794,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Basrai",0.62,10.81,6.7,13.8,286.9,0.25,3286,0.696,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Basrai",46.51,11.79,548.14,16.83,243,0.44,3644,0.652,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Basrai",162.54,11.22,1822.99,12.03,213.8,0.43,3905,0.615,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Cavendish",5.25,48.64,255.36,20.08,,0.43,2497,4.128,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Cavendish",256.91,31.89,8193.55,13.39,348.5,0.23,2579,2.631,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Cavendish",73.25,39.22,2872.77,15.51,346.7,0.33,2507,3.149,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Cavendish",114.1,30.54,3484.94,17.52,249.1,0.43,3683,2.091,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Cavendish",129.26,29.07,3757.91,18.42,294.8,0.3,3144,2.358,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Cavendish",415.31,35.28,14653.66,17.42,236.7,0.39,3572,2.799,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Cavendish",122.73,32.77,4022.2,15.09,352.4,0.25,2518,2.629,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Cavendish",7.04,33.47,235.62,22.19,325.4,0.28,2706,2.717,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Cavendish",238.1,30.79,7330.84,13.37,319.2,0.32,3015,2.39,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Cavendish",364.63,27.99,10207.15,10.78,293.2,0.4,3083,2.107,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Cavendish",26.1,35.53,927.28,17.48,331.2,0.31,2740,2.413,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Cavendish",243.1,33.27,8086.83,18.54,303.3,0.34,2905,2.375,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Cavendish",164.4,24.94,4099.93,21.81,273.1,0.4,3401,1.726,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Cavendish",177.01,22.94,4060.83,19.58,308.6,0.33,2921,1.6,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
2009,"Bananas","Cavendish",35.29,11.95,421.82,23,311.4,0.18,2816,0.881,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2010,"Bananas","Cavendish",192.84,19.29,3720.68,13.22,300.7,0.4,3016,1.331,59.87,"Bacterial",0.652,10.92,926,353.7,"@  reviewed",27711.29
2011,"Bananas","Cavendish",168.92,21.33,3603.63,11.26,247.2,0.39,3462,1.422,55.05,"Bacterial",0.543,9.51,972,360.9,"@ ok",32743.92
2012,"Bananas","Cavendish",13.8,16.38,226.1,18.44,267.9,0.49,3225,1.052,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
2013,"Bananas","Cavendish",132.99,17.96,2388.35,18.88,,0.25,2485,1.481,50.73,"Fungal",,,1590,,"@",16319.68
2014,"Bananas","Cavendish",43.95,15.11,664.05,13.66,272.7,0.32,3296,0.92,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2015,"Bananas","Cavendish",171.13,11.79,2017.27,15.72,308.8,0.35,2925,0.787,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Cavendish",154.9,11.59,1795.57,14.71,331.3,0.22,2777,0.766,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Cavendish",8.09,19.85,160.6,14.25,276.6,0.43,3269,1.274,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Cavendish",35.48,15,532.24,20.95,307.4,0.28,2843,1.016,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Cavendish",157.91,12.79,2020.33,23.11,240.3,0.5,3726,0.785,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Cavendish",87.41,10.78,942.42,15.7,357.7,0.27,2605,0.745,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Cavendish",1.4,9.7,13.58,13.8,286.9,0.25,3286,0.625,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Cavendish",44.86,11.65,522.53,16.83,243,0.44,3644,0.644,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Cavendish",113.32,11.09,1256.67,12.03,213.8,0.43,3905,0.608,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Dwarf Cavendish",132.55,45.33,6008.38,20.08,,0.43,2497,3.847,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Dwarf Cavendish",232.36,31.12,7229.96,13.39,348.5,0.23,2579,2.568,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Dwarf Cavendish",74.84,44.58,3336.64,15.51,346.7,0.33,2507,3.579,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Dwarf Cavendish",38.32,28,1072.9,17.52,249.1,0.43,3683,1.917,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Dwarf Cavendish",23.28,28.49,663.34,18.42,294.8,0.3,3144,2.311,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Dwarf Cavendish",124.11,37.9,4703.84,17.42,236.7,0.39,3572,3.007,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Dwarf Cavendish",39.62,33.77,1337.77,15.09,352.4,0.25,2518,2.709,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Dwarf Cavendish",154.91,35.83,5549.97,22.19,325.4,0.28,2706,2.909,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Dwarf Cavendish",12.36,33.54,414.57,13.37,319.2,0.32,3015,2.604,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Dwarf Cavendish",162.01,30.27,4904.55,10.78,293.2,0.4,3083,2.279,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Dwarf Cavendish",28.04,33.5,939.46,17.48,331.2,0.31,2740,2.275,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Dwarf Cavendish",192.52,37.33,7186.22,18.54,303.3,0.34,2905,2.665,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Dwarf Cavendish",9.32,23.78,221.59,21.81,273.1,0.4,3401,1.646,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Dwarf Cavendish",158.59,24.54,3892.23,19.58,308.6,0.33,2921,1.711,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
2009,"Bananas","Dwarf Cavendish",159.17,12.85,2045.23,23,311.4,0.18,2816,0.947,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2010,"Bananas","Dwarf Cavendish",65.18,20.45,1332.84,13.22,300.7,0.4,3016,1.411,59.87,"Bacterial",0.652,10.92,926,353.7,"@  reviewed",27711.29
2011,"Bananas","Dwarf Cavendish",139.07,21.72,3021,11.26,247.2,0.39,3462,1.448,55.05,"Bacterial",0.543,9.51,972,360.9,"@ ok",32743.92
2012,"Bananas","Dwarf Cavendish",11.21,16.8,188.29,18.44,267.9,0.49,3225,1.078,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
2013,"Bananas","Dwarf Cavendish",9.82,15.87,155.81,18.88,,0.25,2485,1.309,50.73,"Fungal",,,1590,,"@",16319.68
2014,"Bananas","Dwarf Cavendish",8.15,14.57,118.77,13.66,272.7,0.32,3296,0.887,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2015,"Bananas","Dwarf Cavendish",152.17,11.2,1704.72,15.72,308.8,0.35,2925,0.748,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Dwarf Cavendish",134.32,12.03,1616.41,14.71,331.3,0.22,2777,0.795,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Dwarf Cavendish",738.17,18.25,13474.05,14.25,276.6,0.43,3269,1.171,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Dwarf Cavendish",24.51,13.9,340.57,20.95,307.4,0.28,2843,0.942,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Dwarf Cavendish",208.1,12.76,2656.11,23.11,240.3,0.5,3726,0.783,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Dwarf Cavendish",9.07,11.55,104.74,15.7,357.7,0.27,2605,0.799,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Dwarf Cavendish",78.34,10.19,798.28,13.8,286.9,0.25,3286,0.656,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Dwarf Cavendish",370.84,10.64,3947.12,16.83,243,0.44,3644,0.589,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Dwarf Cavendish",480.18,11.58,5562.57,12.03,213.8,0.43,3905,0.635,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Grand Nain",83.38,43.35,3614.77,20.08,,0.43,2497,3.679,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Grand Nain",165.63,30.04,4975.09,13.39,348.5,0.23,2579,2.479,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Grand Nain",29.74,41.59,1236.95,15.51,346.7,0.33,2507,3.339,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Grand Nain",130.14,29.95,3897.32,17.52,249.1,0.43,3683,2.051,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Grand Nain",101.74,31.28,3182.69,18.42,294.8,0.3,3144,2.537,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Grand Nain",279.63,37.04,10358.85,17.42,236.7,0.39,3572,2.939,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Grand Nain",69.49,35.22,2447.64,15.09,352.4,0.25,2518,2.826,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Grand Nain",113.1,32.87,3717.2,22.19,325.4,0.28,2706,2.668,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Grand Nain",84.81,33.72,2859.97,13.37,319.2,0.32,3015,2.618,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Grand Nain",45.52,29.67,1350.57,10.78,293.2,0.4,3083,2.234,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Grand Nain",23.42,31.14,729.4,17.48,331.2,0.31,2740,2.114,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Grand Nain",38.42,31.29,1202.07,18.54,303.3,0.34,2905,2.233,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Grand Nain",71.7,24.2,1734.93,21.81,273.1,0.4,3401,1.675,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Grand Nain",40.05,23.6,945.03,19.58,308.6,0.33,2921,1.646,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
2009,"Bananas","Grand Nain",23.64,12.46,294.58,23,311.4,0.18,2816,0.918,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2010,"Bananas","Grand Nain",296.45,20.62,6112.57,13.22,300.7,0.4,3016,1.423,59.87,"Bacterial",0.652,10.92,926,353.7,"@  reviewed",27711.29
2011,"Bananas","Grand Nain",254.08,20.73,5268.12,11.26,247.2,0.39,3462,1.382,55.05,"Bacterial",0.543,9.51,972,360.9,"@ ok",32743.92
2012,"Bananas","Grand Nain",97.68,15.55,1519.1,18.44,267.9,0.49,3225,0.998,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
2013,"Bananas","Grand Nain",3.97,16.8,66.68,18.88,,0.25,2485,1.386,50.73,"Fungal",,,1590,,"@",16319.68
2014,"Bananas","Grand Nain",381.9,14.57,5565.26,13.66,272.7,0.32,3296,0.887,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2015,"Bananas","Grand Nain",348.7,13.14,4580.54,15.72,308.8,0.35,2925,0.877,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Grand Nain",80.35,11.15,895.86,14.71,331.3,0.22,2777,0.737,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Grand Nain",165.68,18.24,3022.45,14.25,276.6,0.43,3269,1.171,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Grand Nain",146.22,13.91,2033.22,20.95,307.4,0.28,2843,0.943,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Grand Nain",16.26,12.44,202.24,23.11,240.3,0.5,3726,0.763,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Grand Nain",143.2,10.91,1562.7,15.7,357.7,0.27,2605,0.754,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Grand Nain",62.5,10.89,680.4,13.8,286.9,0.25,3286,0.701,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Grand Nain",36.67,12.19,446.9,16.83,243,0.44,3644,0.674,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Grand Nain",95.26,10.63,1012.95,12.03,213.8,0.43,3905,0.583,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Gros Michel",277.11,40.84,11316.33,20.08,,0.43,2497,3.466,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Gros Michel",37.09,28.88,1071.03,13.39,348.5,0.23,2579,2.383,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Gros Michel",57.49,44.32,2548.2,15.51,346.7,0.33,2507,3.558,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Gros Michel",22.81,31.13,710.04,17.52,249.1,0.43,3683,2.132,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Gros Michel",162.93,27.05,4407.6,18.42,294.8,0.3,3144,2.194,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Gros Michel",184.35,35.24,6497.21,17.42,236.7,0.39,3572,2.796,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Gros Michel",66.8,36.91,2465.84,15.09,352.4,0.25,2518,2.961,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Gros Michel",47.73,31.58,1507.4,22.19,325.4,0.28,2706,2.564,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Gros Michel",164.03,33.89,5559.46,13.37,319.2,0.32,3015,2.631,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Gros Michel",85.36,27.78,2371.17,10.78,293.2,0.4,3083,2.092,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Gros Michel",227.43,31.09,7071.59,17.48,331.2,0.31,2740,2.111,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Gros Michel",9.98,34.45,343.84,18.54,303.3,0.34,2905,2.459,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Gros Michel",433.98,24.67,10705.47,21.81,273.1,0.4,3401,1.708,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Gros Michel",235.45,25.81,6077.32,19.58,308.6,0.33,2921,1.8,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
2009,"Bananas","Gros Michel",96.87,13.65,1321.91,23,311.4,0.18,2816,1.006,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2010,"Bananas","Gros Michel",24.09,20.08,483.66,13.22,300.7,0.4,3016,1.386,59.87,"Bacterial",0.652,10.92,926,353.7,"@  reviewed",27711.29
2011,"Bananas","Gros Michel",177.49,19.2,3407.11,11.26,247.2,0.39,3462,1.28,55.05,"Bacterial",0.543,9.51,972,360.9,"@ ok",32743.92
2012,"Bananas","Gros Michel",45.84,16.97,777.74,18.44,267.9,0.49,3225,1.089,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
2013,"Bananas","Gros Michel",30.35,17.21,522.42,18.88,,0.25,2485,1.419,50.73,"Fungal",,,1590,,"@",16319.68
2014,"Bananas","Gros Michel",75.07,14.92,1119.81,13.66,272.7,0.32,3296,0.908,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2015,"Bananas","Gros Michel",157.37,11.11,1748.17,15.72,308.8,0.35,2925,0.742,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Gros Michel",95.59,10.25,980.24,14.71,331.3,0.22,2777,0.677,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Gros Michel",11.45,18.93,216.75,14.25,276.6,0.43,3269,1.215,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Gros Michel",388.64,13.93,5411.93,20.95,307.4,0.28,2843,0.944,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Gros Michel",49.48,14.19,702.05,23.11,240.3,0.5,3726,0.871,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Gros Michel",71.89,11.45,822.94,15.7,357.7,0.27,2605,0.792,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Gros Michel",84.2,10.03,844.59,13.8,286.9,0.25,3286,0.646,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Gros Michel",220.59,11.73,2588.05,16.83,243,0.44,3644,0.649,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Gros Michel",134.02,11.11,1488.82,12.03,213.8,0.43,3905,0.609,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Lakatan",131.3,44.8,5882.16,20.08,,0.43,2497,3.803,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Lakatan",83.03,31.97,2654.08,13.39,348.5,0.23,2579,2.638,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Lakatan",218.65,40.55,8867.35,15.51,346.7,0.33,2507,3.255,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Lakatan",474.11,29.09,13791.35,17.52,249.1,0.43,3683,1.992,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Lakatan",461.14,33.59,15488.55,18.42,294.8,0.3,3144,2.725,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Lakatan",70.55,38.22,2696.36,17.42,236.7,0.39,3572,3.032,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Lakatan",3.84,35.85,137.66,15.09,352.4,0.25,2518,2.876,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Lakatan",2.1,34.73,72.94,22.19,325.4,0.28,2706,2.819,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Lakatan",181.03,34.09,6172.01,13.37,319.2,0.32,3015,2.647,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Lakatan",664.25,26.62,17684.43,10.78,293.2,0.4,3083,2.004,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Lakatan",272.01,32.01,8706.73,17.48,331.2,0.31,2740,2.174,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Lakatan",586.98,34.13,20035.81,18.54,303.3,0.34,2905,2.436,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Lakatan",68.96,27.22,1877.37,21.81,273.1,0.4,3401,1.884,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Lakatan",367.46,23.16,8510.23,19.58,308.6,0.33,2921,1.615,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
2009,"Bananas","Lakatan",25.74,13.66,351.52,23,311.4,0.18,2816,1.007,61.8,"None",0.688,6.68,2951,364.2,"@",7026.3
2010,"Bananas","Lakatan",313.86,18.04,5661.82,13.22,300.7,0.4,3016,1.245,59.87,"Bacterial",0.652,10.92,926,353.7,"@  reviewed",27711.29
2011,"Bananas","Lakatan",235.88,21.23,5008.56,11.26,247.2,0.39,3462,1.415,55.05,"Bacterial",0.543,9.51,972,360.9,"@ ok",32743.92
2012,"Bananas","Lakatan",229.62,16.47,3782.96,18.44,267.9,0.49,3225,1.057,51.84,"Bacterial",0.583,8.86,2420,352.8,"@  reviewed",22701.4
2013,"Bananas","Lakatan",271.1,17.76,4813.52,18.88,,0.25,2485,1.465,50.73,"Fungal",,,1590,,"@",16319.68
2014,"Bananas","Lakatan",360.72,14.95,5391.78,13.66,272.7,0.32,3296,0.91,53.14,"Bacterial",0.624,6.67,1080,356.5,"@ ok",20050.25
2015,"Bananas","Lakatan",120.19,12.03,1445.68,15.72,308.8,0.35,2925,0.803,54.46,"Bacterial",0.688,7.43,1232,341.1,"@",17262.83
2016,"Bananas","Lakatan",54.02,11.76,635.08,14.71,331.3,0.22,2777,0.777,56.09,"None",0.693,9.09,1801,359.7,"@ ok",9222.33
2017,"Bananas","Lakatan",36.22,19.61,710.2,14.25,276.6,0.43,3269,1.259,55.65,"Bacterial",0.575,7.3,1589,352.5,"@ ok",23494.22
2018,"Bananas","Lakatan",219.46,13.86,3042.81,20.95,307.4,0.28,2843,0.939,57.7,"Bacterial",0.704,7.87,2358,363.9,"@ missing-field flag",19353.27
2019,"Bananas","Lakatan",554.5,12.25,6795.24,23.11,240.3,0.5,3726,0.752,56.07,"Bacterial",0.569,8.09,3006,364.1,"@ anomaly",14967.77
2020,"Bananas","Lakatan",52.12,10.92,569.3,15.7,357.7,0.27,2605,0.755,59.94,"Fungal",0.749,10.15,1615,357.9,"@",18145.55
2021,"Bananas","Lakatan",132.66,11.06,1466.64,13.8,286.9,0.25,3286,0.712,57.21,"Bacterial",0.64,8.63,1333,356.8,"@",7330.83
2022,"Bananas","Lakatan",82.44,11.05,910.58,16.83,243,0.44,3644,0.611,56.18,"Bacterial",0.533,8.8,2129,343.2,"@ missing-field flag",18014
2023,"Bananas","Lakatan",20.96,10.53,220.65,12.03,213.8,0.43,3905,0.577,50.74,"Bacterial",0.511,10.97,818,342.9,"@",16610.48
1995,"Bananas","Robusta",78.34,47.99,3759.36,20.08,,0.43,2497,4.073,,"Fungal",,,2804,,"@  reviewed",38079.41
1996,"Bananas","Robusta",542.78,28.02,15206.64,13.39,348.5,0.23,2579,2.312,58.07,"None",0.692,7.29,1386,356,"@",45332.37
1997,"Bananas","Robusta",49.36,42.91,2117.95,15.51,346.7,0.33,2507,3.445,59.32,"Fungal",0.712,10.69,925,335.7,"@",33705.37
1998,"Bananas","Robusta",484.04,29.25,14158.4,17.52,249.1,0.43,3683,2.003,57.4,"Bacterial",0.581,9.13,1988,333.9,"@",48011.01
1999,"Bananas","Robusta",50.51,30.04,1517.32,18.42,294.8,0.3,3144,2.437,57.47,"Bacterial",0.632,7.24,2513,356.6,"@ ok",35820.4
2000,"Bananas","Robusta",166.69,39.69,6616.2,17.42,236.7,0.39,3572,3.149,54.58,"Bacterial",0.549,7.39,1794,358,"@ missing-field flag",62454.17
2001,"Bananas","Robusta",48.75,33.92,1653.44,15.09,352.4,0.25,2518,2.721,57.16,"Fungal",0.757,8.55,1744,353,"@",20008.37
2002,"Bananas","Robusta",129.07,34.16,4409.17,22.19,325.4,0.28,2706,2.773,59.66,"Bacterial",0.697,10.56,2533,354.6,"@ ok",18980.79
2003,"Bananas","Robusta",175.88,31.3,5505.26,13.37,319.2,0.32,3015,2.43,60.81,"Bacterial",0.649,8.68,1314,341.8,"@",32631.05
2004,"Bananas","Robusta",71.7,27.84,1996.11,10.78,293.2,0.4,3083,2.096,57.14,"Bacterial",0.627,10.06,938,384.7,"@  reviewed",44812.25
2005,"Bananas","Robusta",53.18,31.74,1688.17,17.48,331.2,0.31,2740,2.155,55.77,"Fungal",0.677,11.6,2336,343.7,"@",31153.27
2006,"Bananas","Robusta",33.04,30.63,1012.07,18.54,303.3,0.34,2905,2.186,57.42,"Bacterial",0.66,10.99,2390,349.6,"@ data entry check",41208.43
2007,"Bananas","Robusta",13.56,26.2,355.3,21.81,273.1,0.4,3401,1.814,60.62,"Bacterial",0.575,11.22,2974,341.6,"@ ok",21033.32
2008,"Bananas","Robusta",256.46,23.94,6139.55,19.58,308.6,0.33,2921,1.669,60.62,"Bacterial",0.658,10.94,1972,350.6,"@  reviewed",32103.59
